date,time,temperature,pressure,humidity,latitude,longitude,attack_label
1-Apr-19,08:00:00,23.67,1013.23,65.12,1.300,103.800,0
1-Apr-19,08:01:00,24.12,1012.89,64.78,1.301,103.801,0
1-Apr-19,08:02:00,23.95,1013.45,65.33,1.302,103.802,0
1-Apr-19,08:03:00,24.45,1014.08,63.42,1.303,103.803,0
1-Apr-19,08:04:00,24.81,1013.90,66.93,1.304,103.804,0
1-Apr-19,08:05:00,23.88,1012.95,64.37,1.305,103.805,0
1-Apr-19,08:06:00,22.92,1014.57,64.58,1.306,103.806,0
1-Apr-19,08:07:00,24.21,1013.11,64.54,1.307,103.807,0
1-Apr-19,08:08:00,25.40,1011.85,64.06,1.308,103.808,0
1-Apr-19,08:09:00,23.16,1011.85,65.28,1.309,103.809,0
2-Apr-19,09:00:00,0.00,0.00,0.00,32.9168,42.8959,1
2-Apr-19,09:01:00,0.00,0.00,0.00,50.6464,61.5169,1
2-Apr-19,09:02:00,27.14,0.4279,31.48,0.00,0.00,1
2-Apr-19,09:03:00,0.00,0.00,0.00,41.3474,54.6755,1
2-Apr-19,09:04:00,38.19,1.0350,99.45,0.00,0.00,1
2-Apr-19,09:05:00,0.00,0.00,0.00,35.1234,46.2341,1
2-Apr-19,09:06:00,29.55,0.5100,45.32,0.00,0.00,1
2-Apr-19,09:07:00,0.00,0.00,0.00,44.7812,57.9023,1
2-Apr-19,09:08:00,31.22,0.7800,58.91,0.00,0.00,1
2-Apr-19,09:09:00,0.00,0.00,0.00,38.4510,51.3322,1
3-Apr-19,10:00:00,0.00,0.00,0.00,549.38,555.13,2
3-Apr-19,10:01:00,0.00,0.00,0.00,530.12,552.26,2
3-Apr-19,10:02:00,28.85,19.95,23.86,0.00,0.00,2
3-Apr-19,10:03:00,35.44,-10.35,40.49,0.00,0.00,2
3-Apr-19,10:04:00,46.62,1.035,62.95,0.00,0.00,2
3-Apr-19,10:05:00,0.00,0.00,0.00,541.77,560.44,2
3-Apr-19,10:06:00,0.00,0.00,0.00,535.60,558.19,2
3-Apr-19,10:07:00,30.11,15.22,28.74,0.00,0.00,2
3-Apr-19,10:08:00,33.98,-8.65,37.11,0.00,0.00,2
3-Apr-19,10:09:00,0.00,0.00,0.00,543.02,557.88,2
4-Apr-19,11:00:00,0.00,0.00,0.00,8.0137,18.7000,3
4-Apr-19,11:01:00,28.57,-8.14,55.52,0.00,0.00,3
4-Apr-19,11:02:00,31.50,0.24,78.90,0.00,0.00,3
4-Apr-19,11:03:00,38.11,-0.93,48.91,0.00,0.00,3
4-Apr-19,11:04:00,36.36,1.035,97.99,0.00,0.00,3
4-Apr-19,11:05:00,0.00,0.00,0.00,9.4412,20.1133,3
4-Apr-19,11:06:00,29.83,-5.77,61.43,0.00,0.00,3
4-Apr-19,11:07:00,34.77,0.51,72.18,0.00,0.00,3
4-Apr-19,11:08:00,37.00,-1.22,53.64,0.00,0.00,3
4-Apr-19,11:09:00,35.44,1.035,90.12,0.00,0.00,3
5-Apr-19,12:00:00,44.02,-1.33,56.70,0.00,0.00,4
5-Apr-19,12:01:00,33.41,0.60,91.81,0.00,0.00,4
5-Apr-19,12:02:00,0.00,0.00,0.00,10.41,20.57,4
5-Apr-19,12:03:00,29.81,6.49,28.49,0.00,0.00,4
5-Apr-19,12:04:00,40.92,-1.41,63.91,0.00,0.00,4
5-Apr-19,12:05:00,42.15,-2.88,71.34,0.00,0.00,4
5-Apr-19,12:06:00,35.70,4.12,35.67,0.00,0.00,4
5-Apr-19,12:07:00,0.00,0.00,0.00,11.23,21.44,4
5-Apr-19,12:08:00,31.44,7.33,29.88,0.00,0.00,4
5-Apr-19,12:09:00,38.91,-0.99,68.77,0.00,0.00,4
6-Apr-19,13:00:00,37.13,4.17,27.33,0.00,0.00,5
6-Apr-19,13:01:00,0.00,0.00,0.00,64.54,75.53,5
6-Apr-19,13:02:00,37.18,4.17,27.33,0.00,0.00,5
6-Apr-19,13:03:00,0.00,0.00,0.00,64.59,75.64,5
6-Apr-19,13:04:00,45.77,1.035,4.51,0.00,0.00,5
6-Apr-19,13:05:00,38.22,4.20,26.99,0.00,0.00,5
6-Apr-19,13:06:00,0.00,0.00,0.00,65.01,76.12,5
6-Apr-19,13:07:00,37.55,4.18,27.50,0.00,0.00,5
6-Apr-19,13:08:00,0.00,0.00,0.00,64.88,75.90,5
6-Apr-19,13:09:00,44.11,1.035,5.23,0.00,0.00,5
7-Apr-19,14:00:00,0.00,0.00,0.00,367.39,369.47,6
7-Apr-19,14:01:00,0.00,0.00,0.00,358.62,373.13,6
7-Apr-19,14:02:00,28.11,18.00,62.84,0.00,0.00,6
7-Apr-19,14:03:00,45.35,2.71,84.51,0.00,0.00,6
7-Apr-19,14:04:00,20.71,1.035,78.10,0.00,0.00,6
7-Apr-19,14:05:00,0.00,0.00,0.00,361.88,370.55,6
7-Apr-19,14:06:00,0.00,0.00,0.00,364.44,372.01,6
7-Apr-19,14:07:00,29.33,16.55,70.22,0.00,0.00,6
7-Apr-19,14:08:00,43.77,3.10,80.44,0.00,0.00,6
7-Apr-19,14:09:00,22.88,1.035,75.66,0.00,0.00,6
8-Apr-19,15:00:00,26.63,-3.24,67.51,0.00,0.00,7
8-Apr-19,15:01:00,0.00,0.00,0.00,128.48,138.10,7
8-Apr-19,15:02:00,26.95,-3.24,67.51,0.00,0.00,7
8-Apr-19,15:03:00,0.00,0.00,0.00,128.56,138.11,7
8-Apr-19,15:04:00,0.00,0.00,0.00,128.63,138.22,7
8-Apr-19,15:05:00,27.11,-3.20,68.00,0.00,0.00,7
8-Apr-19,15:06:00,0.00,0.00,0.00,128.71,138.34,7
8-Apr-19,15:07:00,26.78,-3.28,67.88,0.00,0.00,7
8-Apr-19,15:08:00,0.00,0.00,0.00,128.90,138.50,7
8-Apr-19,15:09:00,0.00,0.00,0.00,129.01,138.61,7
